,BoroCT,2011 Household Median Income
643,3036002,14521
644,3036100,15153
645,3036200,28398
646,3036300,37521
647,3036400,37572
648,3036501,35361
649,3036502,48971
650,3036600,47706
651,3036700,51691
652,3036900,20071
653,3037000,56111
654,3037100,42793
655,3037300,28861
656,3037401,54403
657,3037402,30866
658,3037500,37833
659,3037700,51280
660,3037900,44229
661,3038100,26982
662,3038200,24030
663,3038300,42976
664,3038500,30969
665,3038600,43929
666,3038700,29830
667,3038800,45313
668,3038900,33981
669,3039000,46458
670,3039100,43537
671,3039200,43699
672,3039300,50565
673,3039400,49455
674,3039500,26222
675,3039600,40446
676,3039700,35000
677,3039800,35539
678,3039900,39718
679,3040000,40037
680,3040100,31953
681,3040200,39082
682,3040300,27301
683,3040400,37052
684,3040500,44213
685,3040600,51016
686,3040700,-
687,3040800,38225
688,3040900,32658
689,3041000,46827
690,3041100,32348
691,3041200,40675
692,3041300,39419
693,3041401,51985
694,3041402,44779
695,3041500,35221
696,3041600,46316
697,3041700,26776
698,3041800,33852
699,3041900,33555
700,3042000,54904
701,3042100,33598
702,3042200,47733
703,3042300,47868
704,3042400,40290
705,3042500,31630
706,3042600,42794
707,3042700,39583
708,3042800,39813
709,3042900,32885
710,3043000,41386
711,3043100,25020
712,3043200,35918
713,3043300,27778
714,3043400,44866
715,3043500,34452
716,3043600,38520
717,3043700,33438
718,3043800,47083
719,3043900,37885
720,3044000,52464
721,3044100,36161
722,3044200,50402
723,3044300,44601
724,3044400,41071
725,3044500,40441
726,3044600,44948
727,3044700,52512
728,3044800,42434
729,3044900,26298
730,3045000,41179
731,3045200,57422
732,3045300,45686
733,3045400,62760
734,3045600,28939
735,3045800,51250
736,3046000,49153
737,3046201,28324
738,3046202,44432
739,3046400,42353
740,3046800,50431
741,3047000,51970
742,3047200,56375
743,3047400,50500
744,3047600,34705
745,3047700,73730
746,3047800,34313
747,3048000,48906
748,3048100,64500
749,3048200,26107
750,3048400,40676
751,3048500,59762
752,3048600,30000
753,3048800,32140
754,3048900,23571
755,3049000,37364
756,3049100,39226
757,3049200,51786
758,3049300,23865
759,3049400,45500
760,3049500,80368
761,3049600,53718
762,3049700,67946
763,3049800,50759
764,3049900,56103
765,3050000,53099
766,3050100,60798
767,3050202,78380
768,3050300,66875
769,3050400,73833
770,3050500,21454
771,3050600,33856
772,3050700,19595
773,3050801,29921
