censustract,changeinrent0016,gentrificationcomposite
2033202,72.9970326,-1.805907129
2033500,75.3658537,-.76439812
2033600,75.1923077,-.093010068
2033700,73.2251521,-.794304398
2033800,76.16959060000001,.888660973
2034000,70.63037250000001,-.96707542
2034200,52.0681265,-1.710412131
2034300,100.3947368,-1.536653419
2034400,120.1024328,.281687676
2034500,81.8858561,-.902881493
2034800,45.1467269,-2.5015937
2035000,75.54038680000001,-2.009391116
2035100,104.2758621,-.171577161
2035600,62.0117188,-.733870013
2035800,44.3925234,-.183533731
2035900,78.61060330000001,-2.968122871
2036000,72.8553137,-1.525954709
2036100,82.7361564,.376506098
2036300,127.4271845,.626569131
2036400,65.33864539999999,-.981058624
2036501,53.6752137,-.747834142
2036502,91.18236469999999,-.108354795
2036700,78.7828947,.230037297
2036800,83.4615385,-1.611624974
2036901,145.8549223,-.739217821
2036902,99.5283019,.098204837
2037000,107.1989529,-1.532171452
2037100,79.1919192,1.003816576
2037200,86.4457831,-.863654498
2037300,71.7241379,-.443619071
2037400,75.05720820000001,-.954501405
2037504,119.4871795,-.010644089
2037600,107.4498567,.884425872
2037800,82.3170732,-1.7727164
2037900,90.1006711,.449553448
2038000,70.8751793,-1.908160964
2038100,78.030303,-.535053231
2038200,75.5610973,-1.585989176
2038301,98.6324786,-.097168476
2038302,81.7094017,-1.304227959
2038500,86.9642857,-.581907861
2038600,85.28995759999999,.309416611
2038700,89.98384489999999,-.917428806
2038800,70.52023120000001,-1.221629037
2038900,91.61392410000001,.422247505
2039000,93.58437939999999,-1.396582491
2039100,94.8275862,.848853656
2039200,77.1349862,-.856180156
2039300,72.14953269999999,-.355655845
2039400,85.6687898,-.602340893
2039500,79.4425087,.681395415
2039600,88.5925926,-.876771938
2039700,92.3791822,-1.243028052
2039800,79.57276370000001,1.171148589
2039901,79.0046656,-.767485525
2039902,78.28125,.548893879
2040100,71.8130312,-2.026754896
2040302,79.3363499,-.847785354
2040303,70.9489051,-.047077725
2040304,81.60583940000001,-.904225957
2040400,29.1166848,-.336708182
2040501,79.57317069999999,-.70530419
2040502,70.2743902,-1.315839991
2040600,70.7042254,-1.864361632
2040701,71.06382979999999,-.144996296
2040702,60.0587372,-1.262792317
2040800,72.4186704,-.010399732
2040900,77.6831346,-.51771692
2041100,82.739726,-.598838059
2041300,71.3475177,-1.296796768
2041400,79.9442897,.818158673
2041500,82.97872339999999,-1.17572071
2041800,91.0891089,-1.174214888
2041900,73.8686131,-1.091771708
2042000,68,-.479636894
2042100,62.44411330000001,-1.702238198
2042200,67.3184358,-1.551745939
2042300,70.3328509,-1.006351971
2042400,69.32270920000001,-.752994018
2042500,78.397711,-.868099888
2042600,73.5915493,-.6637750569999999
2042800,42.4307036,-1.342663344
2042901,72.5988701,-.419019862
2042902,77.92207789999999,-1.591242762
2043000,47.4600871,-.9097646
2043100,68.2336182,-1.322278385
2043400,67.72853189999999,-1.997194599
2043600,65.5043587,-1.616444748
2044200,68.4950774,-.859637464
2044400,66.0465116,-1.271344521
2044800,54.3961353,-1.013425058
2044901,65.21164020000001,-.753920792
2044902,63.02414229999999,-.639197011
2045101,94.1176471,.261836915
2045102,86.53333330000001,.5129738740000001
2045600,64.2773208,-.622338468
2045800,79.1044776,1.105715807
2046000,45.6692913,-2.810280296
2046201,51.1290323,-1.366008244
2046202,68.20349759999999,-1.880405124
2048400,48.6625514,-1.191179095
2051600,53.6340852,-.967687699
3000100,101.6371078,-1.537003552
3000200,77.1695594,.317476152
3000301,104.757085,-1.33841195
3000501,108.3608361,-.488956034
3000502,119.8019802,-.531184381
3000700,96.01482850000001,-1.052914166
3000900,196.1915125,1.088811407
3001100,308.9871612,7.767826349
3001300,104.4526902,.022138689
3001500,710.4316547,7.544496056
3002000,92.15976329999999,1.255116625
3002100,173.5738255,.902239316
3002200,88.23529409999999,.095724589
3002300,53.98550720000001,2.062378789
3002901,117.5213675,1.150824198
3003000,79.8988622,-.314996058
3003100,193.9814815,1.820955624
3003300,149.5594714,2.613238795
3003400,69.67741939999999,-.611741205
3003500,50.62656639999999,-1.124667309
3003600,84.81675389999999,.351425423
3003700,219.5652174,5.022116736
3003800,69.0285714,-1.200899067
3003900,100,1.736925212
3004100,119.5488722,.037287325
3004300,95.6262425,.966295859
3004400,43.8225977,-1.311493478
3004500,112.6091174,-.010768054
3004600,38.0838323,-.286858333
3004700,118.3908046,-.374103861
3004900,91.0179641,-.069421936
3005000,97.99764429999999,-.044442836
3005100,140.2733964,-.283159812
3005201,27.1393643,-1.296078351
3005202,95.32710279999999,.428822751
3005300,154.028436,2.321438149
3005400,83.5651075,-.387965429
3005601,74.6359223,-.435277609
3005602,65.02525249999999,.5174730870000001
3005800,73.4126984,-.612293671
3005900,272.7272727,4.827841535
3006000,86.3102999,-.022036502
3006200,99.7282609,-.060765259
3006300,143.418259,.182122597
3006400,65.7216495,-1.681080553
3006500,109.6078431,.181057646
3006600,79.74025970000001,-.220290088
3006700,95.49019610000001,-.420336524
3006800,83.44733239999999,-.727174597
3006900,119.7433366,1.51068082
3007000,73.8235294,-1.021606591
3007100,40.9090909,.060886264
3007200,91.7271408,-1.665564692
3007400,100.4087193,-.492778229
3007500,124.507874,.559256008
3007600,96.35811840000001,-.29193921
3007700,149.8269896,1.297855516
3007800,111.5264798,.800916661
3008000,126.5988372,1.968746067
3008200,92.5925926,.239081905
3008400,72.24489800000001,-.422697191
3008500,84.5794393,.739777157
3008800,109.3294461,1.384148595
3009000,92.9597701,-.474829684
3009200,84.69539379999999,-.8975914149999999
3009400,78.9687924,-.708199738
3009600,83.1737346,-.762672843
3009800,92.7514793,-.98032642
3010000,67.877095,-1.504193115
3010100,69.8478562,.395067602
3010200,70.29288700000001,-.598561031
3010400,64.31535269999999,-1.205159462
3010600,68.67647059999999,-.637030765
3010800,50.73313780000001,-2.28504744
3011000,91.94187579999999,.42964734
3011200,88.77721939999999,-.028117555
3011400,89.0701468,-.748093537
3011600,67.8832117,-.894473155
3011700,126.6225166,2.651659606
3011800,80.9104258,-2.354433014
3011900,120.0270636,2.410684905
3012000,74.69553450000001,-.660431423
3012100,151.0429448,3.464928508
3012200,64.86860300000001,-1.510090344
3012600,83.1550802,.00828544
3012700,103.4567901,2.596317643
3012801,86.42659280000001,-.591739103
3012901,179.4642857,1.388800385
3012902,110.5928086,.509501212
3013000,75.78231290000001,-.42204838
3013100,131.2288613,1.619877903
3013200,68.06833109999999,-.948686944
3013300,124.9471459,.223988569
3013400,67.3123487,-.343646961
3013500,137.755102,.7966034279999999
3013600,96.44268769999999,.260160243
3013700,96.6008772,.114439762
3013800,89.5778364,-.381102165
3013900,153.4005038,1.993309029
3014000,64.0479361,-1.168948772
3014100,123.6545682,1.941598499
3014200,90.25367159999999,-.496415411
3014300,144.7263017,2.550647268
3014500,133.5787923,2.954002956
3014700,129.9600533,3.14714836
3014800,77.453271,-.559887481
3014900,123.7172178,.9672058609999999
3015000,98.699422,.537663589
3015100,95.12843220000001,-.566078869
3015200,95.0863214,.121505721
3015300,121.8978102,.103155529
3015500,100,-.059287639
3015700,97.1296296,-.210501036
3015900,137.6259798,.642935342
3016000,83.95061729999999,-.089827743
3016100,138.5826772,.436399964
3016200,96.73366829999999,.335501013
3016300,73.1656184,-.169236065
3016400,205.8585859,1.738293214
3016500,140.4572565,.384471055
3016600,137.3529412,.74524234
3016700,110.7660455,-.725876644
3016800,120.414673,-.109401497
3016900,140.4228856,1.458657153
3017000,106.2827225,-.555368447
3017100,98.5618408,-.074665663
3017200,83.4246575,1.121013452
3017400,43.225084,-1.049962181
3017600,78.5714286,.189701152
3017800,96.3976945,.475075192
3017900,63.9553429,.398387799
3018000,84.2105263,-.229395431
3018100,96.69811320000001,-.426579926
3018200,88.43441469999999,-.267258552
3018300,137.4269006,1.3863622
3018400,97.5574713,.547780005
3018501,111.0619469,1.704096397
3018600,86.70143420000001,.070125825
3018700,120.2804746,2.644247327
3018800,70.6601467,-.885325693
3019000,72.8467153,-.323453007
3019100,217.5561798,3.460572471
3019200,46.1842105,-1.416601263
3019300,88.75638839999999,.029587191
3019400,81,-.135727423
3019500,133.2878581,1.669053125
3019600,74.89823610000001,-1.206202479
3019700,113.5294118,.817484913
3019800,93.91891890000001,-1.549277264
3019900,131.5934066,1.709066721
3020000,72.9907773,-1.865968577
3020100,152.2670025,2.107144436
3020200,53.6009445,-.981618262
3020300,187.0738636,4.169524735
3020400,84.90351870000001,-.654198009
3020500,150.0628931,2.076295193
3020600,76.8934531,-.822610739
3020700,99.22049,.181448445
3020800,42.5301205,-2.451256331
3021000,79.97218360000001,-1.261302127
3021100,132.5095057,2.010458651
3021200,95.9876543,-1.719721786
3021300,103.1496063,2.476811582
3021400,105.7632399,.136747643
3021500,75.2010724,.457089186
3021600,80.6622517,-.548885479
3021700,84.86739470000001,1.566283355
3021800,94.30894309999999,-1.246715562
3021900,101.2012012,3.500683204
3022000,115.6509695,-.262926702
3022100,104.1237113,3.649040699
3022200,76.29826899999999,-.968937983
3022400,117.4486804,-.59704648
3022600,99.543379,-.207832031
3022700,144.9744463,3.483418648
3022800,102.130898,.161177226
3022900,148.3231707,3.525314757
3023000,80.7901907,.239435292
3023100,132.6656394,2.566563949
3023200,59.16083920000001,-.95212227
3023300,81.3043478,2.447939614
3023400,83.4210526,-.398341495
3023500,110.989011,3.886652637
3023600,89.03743320000001,.351581604
3023800,90.080429,-.210243725
3024000,79.29634639999999,-1.254806013
3024100,218.4534271,5.679592928
3024200,62.7020785,-.258888245
3024300,106.3339731,3.844886488
3024400,71.44622990000001,-.810096785
3024500,107.3170732,2.582234674
3024600,68.5788787,-1.151775926
3024700,138.619403,3.801668649
3024800,92.17791410000001,-.592140131
3024900,134.5238095,3.586585539
3025000,58.6705202,-1.093545732
3025100,95.154185,4.398223028
3025200,76.76056340000001,-.54054587
