Council District, Census Tracts 
32,4001600 4002800 4012602 4001800 4002000 4003000 4005200 4005400 4008600 4000800 4004002 4003600 4004200 4006201 4004401 4005000 4005800 4008800 4093401 4093402 4092200 4091800 4091601 4093800 4001000 4009400 4011200 4012800 4013000 4003200 4083800 4084601 4002400 4002600 4003400 4001200 4003800 4004001 4001400 4002200 4086400 4088400 4089200 4107201 4006202 4094203 4092800 4091602 4094201 
33,3000501 3023500 3049900 3051700 3056900 3057100 3057300 3059100 3053700 3007100 3012700 3053500 3053900 3054500 3000502 3059300 3057500 3053100 3053300 3004100 3001100 3000900 3001300 3056100 3057900 3056300 3006900 3052900 3003900 3050900 3055300 3051900 3054700 3123700 3056500 3000700 3051500 3054300 3004300 3024100 3050700 3003700 3055500 3058900 3055700 3000301 3000100 3002100 3001500 
34,3049500 3050300 3050500 4054500 4055300 3051100 3052300 3048900 3049300 3042500 3038900 3039100 3049100 3039300 3039500 3044700 3045300 3042700 3048100 3048500 3052700 3039900 3041700 3041900 3042900 4054700 4054900 4055100 3044500 4053900 3042300 4055500 3054900 3055100 3044900 4055700 3050100 3039700 4055900 3042100 3047700 3049700 3052500 3051300 
35,3019500 3019700 3033700 3018100 3018300 3018700 3003500 3017900 3020500 3032100 3020300 3019900 3033500 3031900 3033300 3016300 3023100 3002901 3018501 3003100 3021700 3021300 3021500 3032300 3032500 3033900 3035100 3021100 3016100 3031702 3019100 3019300 3023300 3020100 3003300 3035300 3022900 3021900 3033100 3035500 3022100 3030500 3020700 3002300 
36,3024500 3024900 3026300 3026700 3026900 3027300 3027900 3029100 3029300 3030900 3031701 3034100 3025901 3025902 3034300 3034500 3024300 3025100 3026500 3027500 3027700 3034700 3029500 3031100 3029700 3024700 3031300 3028100 3026100 3028300 3027100 3025300 3022700 3025700 3028502 3038700 3028900 3029900 3031500 3028700 3028501 3025500 
37,3041300 3043300 3043500 3114600 3115200 3117000 3117201 3117202 3117602 3040300 3117400 3117601 3036700 3118201 3116800 3040500 3041100 3117800 3119000 3119200 3040100 3116600 3115000 3043100 3119800 3041500 3043900 3044100 3044300 3090800 3036900 3040700 3043700 3118400 3118000 3036502 3040900 3118600 3118800 3120200 3114201 3114400 3118202 3114202 
38,3007400 3007800 3009800 3010100 3010200 3010400 3019400 3009400 3009600 3008600 3014700 3010000 3010600 3009000 3009200 3011800 3008400 3008800 3007600 3002000 3007200 3012200 3000200 3008000 3008200 3014500 3010800 3008500 3021200 3021400 3024800 3025200 3011200 3017500 3011600 3012000 3002200 3025000 3014300 3001800 3005900 3011400 3005300 
39,3013700 3013900 3015100 3015300 3015500 3013500 3014100 3050202 3022400 3048600 3048800 3022800 3049600 3050000 3012100 3011700 3016700 3005100 3013300 3016500 3015700 3006300 3006500 3007700 3006700 3011000 3016900 3017100 3150200 3049400 3014900 3012901 3012902 3022600 3049800 3049000 3050400 3004500 3004900 3013100 3023000 3048400 3015900 3011900 3017700 3004700 3007500 
40,3051001 3051400 3051800 3079200 3079601 3080000 3080400 3081800 3080200 3079801 3079602 3082000 3082200 3051002 3079400 3051200 3152200 3050600 3050801 3052000 3052600 3032900 3051601 3051602 3050803 3079802 3049200 3081600 3080800 3048200 3082400 3080600 3081000 3050804 3032700 
41,3086400 3086800 3087000 3087800 3090200 3092400 3030300 3087600 3036100 3087200 3088400 3037900 3088200 3088600 3036300 3037700 3086600 3088000 3089200 3090000 3091200 3081400 3089800 3034900 3038500 3030100 3037300 3030700 3038300 3087401 3089400 3037100 3036501 3038100 3090600 3037500 3035700 3035900 3091000 
